timestamp,x,y,z,total
2025-09-19T15:57:06.271048,-2.9650191649956437,-9.340699189632891,-9.684494102904972,9.8
2025-09-19T15:57:06.272356,-2.977320743178456,-9.336785377861018,-9.683503929442018,9.8
2025-09-19T15:57:06.273666,-2.989550401312039,-9.33287674824944,-9.682514965979772,9.8
2025-09-19T15:57:06.274980,-3.0018127395154797,-9.328939933180113,-9.681518768901013,9.8
2025-09-19T15:57:06.276292,-3.014049884255899,-9.324993474272087,-9.680520028590056,9.8
2025-09-19T15:57:06.277618,-3.026326286747197,-9.321016532875744,-9.679513469751006,9.8
2025-09-19T15:57:06.279009,-3.0391949791173074,-9.316828531153085,-9.67845337864734,9.8
2025-09-19T15:57:06.280303,-3.0514139809643894,-9.312833764047069,-9.67744209199056,9.8
2025-09-19T15:57:06.281612,-3.063614415667066,-9.308827354297476,-9.676427751813044,9.8
2025-09-19T15:57:06.282923,-3.0758140269804497,-9.304803494509185,-9.67540888661017,9.8
2025-09-19T15:57:06.284233,-3.0880039182868098,-9.300765119098822,-9.67438623808168,9.8
2025-09-19T15:57:06.285543,-3.100186290941717,-9.296711513296358,-9.6733596239958,9.8
2025-09-19T15:57:06.286855,-3.112378851238528,-9.292636756398217,-9.672327543376065,9.8
2025-09-19T15:57:06.288198,-3.124727718414462,-9.288491625973098,-9.671277525087788,9.8
2025-09-19T15:57:06.289514,-3.137011298945935,-9.284350279383341,-9.670228351439194,9.8
2025-09-19T15:57:06.290828,-3.149256202206736,-9.280203951038061,-9.669177801658552,9.8
2025-09-19T15:57:06.292138,-3.1614226428442547,-9.276066346965811,-9.668129348541655,9.8
2025-09-19T15:57:06.293448,-3.1735748049873522,-9.271915819136275,-9.667077506349463,9.8
2025-09-19T15:57:06.294757,-3.1857193084576085,-9.267750130841918,-9.666021707048117,9.8
2025-09-19T15:57:06.296069,-3.197867178422746,-9.263565485770938,-9.66496098700236,9.8
2025-09-19T15:57:06.297379,-3.2100007211925456,-9.259367978968292,-9.663896889813376,9.8
2025-09-19T15:57:06.298692,-3.2221508203538436,-9.255146897315734,-9.662826698065485,9.8
2025-09-19T15:57:06.300005,-3.2342997800832936,-9.25090833013457,-9.661751953846641,9.8
2025-09-19T15:57:06.301314,-3.246418913900442,-9.246662329482433,-9.66067520489453,9.8
2025-09-19T15:57:06.302637,-3.2585919696262295,-9.24237947584319,-9.659588988752661,9.8
2025-09-19T15:57:06.303943,-3.2707065144244263,-9.238099311898614,-9.658503332727241,9.8
2025-09-19T15:57:06.305254,-3.282819840264732,-9.23380170332698,-9.657413129109793,9.8
2025-09-19T15:57:06.306564,-3.294914316308052,-9.22949292475964,-9.656319968358662,9.8
2025-09-19T15:57:06.307875,-3.3070119348038656,-9.225165150991325,-9.655221863833969,9.8
2025-09-19T15:57:06.309488,-3.321818767724741,-9.219843820498896,-9.65387148870569,9.8
2025-09-19T15:57:06.310826,-3.333960838133956,-9.215460114925849,-9.652758909407023,9.8
2025-09-19T15:57:06.312109,-3.3460378290752497,-9.211081958510487,-9.651647610470526,9.8
2025-09-19T15:57:06.313419,-3.358089315227141,-9.206695180734362,-9.65053399484186,9.8
2025-09-19T15:57:06.314727,-3.3701372441716675,-9.202291831682311,-9.649416043224758,9.8
2025-09-19T15:57:06.316038,-3.382194749775852,-9.197867072022115,-9.648292525255874,9.8
2025-09-19T15:57:06.317348,-3.3942464459943062,-9.193426513757263,-9.64716486421843,9.8
2025-09-19T15:57:06.318657,-3.4062857396620796,-9.188972600882797,-9.64603367941071,9.8
2025-09-19T15:57:06.319969,-3.4183279479719104,-9.184499661936636,-9.644897528926345,9.8
2025-09-19T15:57:06.321278,-3.4303555279536115,-9.180014213052075,-9.6437580664363,9.8
2025-09-19T15:57:06.322589,-3.4423750346434407,-9.175513834160112,-9.642614675874203,9.8
2025-09-19T15:57:06.323899,-3.454399569860305,-9.170993600027694,-9.641466104288067,9.8
2025-09-19T15:57:06.325209,-3.46641161314845,-9.166460087090849,-9.640314021168873,9.8
2025-09-19T15:57:06.326519,-3.4784155223587145,-9.161911670269147,-9.639158012208267,9.8
2025-09-19T15:57:06.327830,-3.490424379836849,-9.157343372869697,-9.637996810907417,9.8
2025-09-19T15:57:06.329143,-3.5024403307902343,-9.15275432475132,-9.636830194170772,9.8
2025-09-19T15:57:06.330453,-3.514432799579515,-9.148156212988479,-9.635661131631995,9.8
2025-09-19T15:57:06.331766,-3.5264279518059176,-9.143539024946628,-9.63448707624015,9.8
2025-09-19T15:57:06.333075,-3.538403964774129,-9.13891117048802,-9.633310165015518,9.8
2025-09-19T15:57:06.334384,-3.5503717266882897,-9.13426847658489,-9.632129335472294,9.8
2025-09-19T15:57:06.335696,-3.562350810346914,-9.129603315808453,-9.630942645840095,9.8
2025-09-19T15:57:06.337007,-3.5743107107307437,-9.124927558241518,-9.629753113937213,9.8
2025-09-19T15:57:06.338317,-3.5862644739767107,-9.12023613305558,-9.628559448431128,9.8
2025-09-19T15:57:06.339636,-3.598281625422796,-9.115501595861014,-9.62735466365081,9.8
2025-09-19T15:57:06.340945,-3.6102186724390766,-9.110780490011393,-9.626153146561498,9.8
2025-09-19T15:57:06.342255,-3.6221538672733433,-9.10604202504012,-9.624947060773716,9.8
2025-09-19T15:57:06.343566,-3.6340915224853143,-9.10128445914094,-9.62373596114267,9.8
2025-09-19T15:57:06.344877,-3.646016422496247,-9.09651385129972,-9.622521388459921,9.8
2025-09-19T15:57:06.346187,-3.657928557060081,-9.091730235298689,-9.621303350012596,9.8
2025-09-19T15:57:06.347496,-3.6698344154834066,-9.08693102003826,-9.620081184594415,9.8
2025-09-19T15:57:06.348807,-3.6817361426837243,-9.08211533595871,-9.618854669148385,9.8
2025-09-19T15:57:06.350116,-3.6936293864022685,-9.07728494407362,-9.617624250612037,9.8
2025-09-19T15:57:06.351427,-3.7055206188017205,-9.072437210784946,-9.616389256516515,9.8
