timestamp,acceleration
2025-Aug-30T01-03-04,16485
2025-Aug-30T01-03-04,16533
2025-Aug-30T01-03-04,16568
2025-Aug-30T01-03-04,16583
2025-Aug-30T01-03-04,16574
2025-Aug-30T01-03-04,16542
2025-Aug-30T01-03-04,16496
2025-Aug-30T01-03-04,16447
2025-Aug-30T01-03-04,16407
2025-Aug-30T01-03-04,16385
2025-Aug-30T01-03-04,16388
2025-Aug-30T01-03-04,16414
2025-Aug-30T01-03-04,16457
2025-Aug-30T01-03-04,16506
2025-Aug-30T01-03-04,16550
2025-Aug-30T01-03-04,16578
2025-Aug-30T01-03-04,16582
2025-Aug-30T01-03-04,16563
2025-Aug-30T01-03-04,16524
2025-Aug-30T01-03-04,16475
2025-Aug-30T01-03-04,16428
2025-Aug-30T01-03-04,16395
2025-Aug-30T01-03-04,16384
2025-Aug-30T01-03-04,16397
2025-Aug-30T01-03-04,16431
2025-Aug-30T01-03-04,16478
2025-Aug-30T01-03-04,16527
2025-Aug-30T01-03-04,16565
2025-Aug-30T01-03-04,16583
2025-Aug-30T01-03-04,16577
2025-Aug-30T01-03-04,16548
2025-Aug-30T01-03-04,16503
2025-Aug-30T01-03-04,16453
2025-Aug-30T01-03-04,16411
2025-Aug-30T01-03-04,16387
2025-Aug-30T01-03-04,16386
2025-Aug-30T01-03-04,16409
2025-Aug-30T01-03-04,16450
2025-Aug-30T01-03-04,16500
2025-Aug-30T01-03-04,16545
2025-Aug-30T01-03-04,16575
2025-Aug-30T01-03-04,16583
2025-Aug-30T01-03-04,16566
2025-Aug-30T01-03-04,16530
2025-Aug-30T01-03-04,16481
2025-Aug-30T01-03-04,16434
2025-Aug-30T01-03-04,16398
2025-Aug-30T01-03-04,16384
2025-Aug-30T01-03-04,16393
2025-Aug-30T01-03-04,16425
2025-Aug-30T01-03-04,16505
2025-Aug-30T01-03-04,16549
2025-Aug-30T01-03-04,16577
2025-Aug-30T01-03-04,16582
2025-Aug-30T01-03-04,16563
2025-Aug-30T01-03-04,16525
2025-Aug-30T01-03-04,16476
2025-Aug-30T01-03-04,16429
2025-Aug-30T01-03-04,16396
2025-Aug-30T01-03-04,16384
2025-Aug-30T01-03-04,16396
2025-Aug-30T01-03-04,16430
2025-Aug-30T01-03-04,16477
2025-Aug-30T01-03-04,16525
2025-Aug-30T01-03-04,16564
2025-Aug-30T01-03-04,16583
2025-Aug-30T01-03-04,16577
2025-Aug-30T01-03-04,16549
2025-Aug-30T01-03-04,16504
2025-Aug-30T01-03-04,16455
2025-Aug-30T01-03-04,16412
2025-Aug-30T01-03-04,16387
2025-Aug-30T01-03-04,16386
2025-Aug-30T01-03-05,16408
2025-Aug-30T01-03-05,16449
2025-Aug-30T01-03-05,16498
2025-Aug-30T01-03-05,16544
2025-Aug-30T01-03-05,16575
2025-Aug-30T01-03-05,16583
2025-Aug-30T01-03-05,16567
2025-Aug-30T01-03-05,16531
2025-Aug-30T01-03-05,16483
2025-Aug-30T01-03-05,16435
2025-Aug-30T01-03-05,16399
2025-Aug-30T01-03-05,16384
2025-Aug-30T01-03-05,16393
2025-Aug-30T01-03-05,16424
2025-Aug-30T01-03-05,16470
2025-Aug-30T01-03-05,16519
2025-Aug-30T01-03-05,16560
2025-Aug-30T01-03-05,16581
2025-Aug-30T01-03-05,16579
2025-Aug-30T01-03-05,16553
2025-Aug-30T01-03-05,16511
2025-Aug-30T01-03-05,16461
2025-Aug-30T01-03-05,16417
2025-Aug-30T01-03-05,16389
2025-Aug-30T01-03-05,16385
2025-Aug-30T01-03-05,16404
2025-Aug-30T01-03-05,16443
