timestamp,acceleration
2025-Aug-30T01-03-08,16485
2025-Aug-30T01-03-08,16533
2025-Aug-30T01-03-08,16569
2025-Aug-30T01-03-08,16583
2025-Aug-30T01-03-08,16574
2025-Aug-30T01-03-08,16542
2025-Aug-30T01-03-08,16496
2025-Aug-30T01-03-08,16447
2025-Aug-30T01-03-08,16407
2025-Aug-30T01-03-08,16385
2025-Aug-30T01-03-08,16388
2025-Aug-30T01-03-08,16414
2025-Aug-30T01-03-08,16457
2025-Aug-30T01-03-08,16507
2025-Aug-30T01-03-08,16551
2025-Aug-30T01-03-08,16578
2025-Aug-30T01-03-08,16582
2025-Aug-30T01-03-08,16562
2025-Aug-30T01-03-08,16523
2025-Aug-30T01-03-08,16474
2025-Aug-30T01-03-08,16428
2025-Aug-30T01-03-08,16395
2025-Aug-30T01-03-08,16384
2025-Aug-30T01-03-08,16397
2025-Aug-30T01-03-08,16431
2025-Aug-30T01-03-08,16479
2025-Aug-30T01-03-08,16527
2025-Aug-30T01-03-08,16565
2025-Aug-30T01-03-08,16583
2025-Aug-30T01-03-08,16576
2025-Aug-30T01-03-08,16547
2025-Aug-30T01-03-08,16502
2025-Aug-30T01-03-08,16453
2025-Aug-30T01-03-08,16411
2025-Aug-30T01-03-08,16387
2025-Aug-30T01-03-08,16386
2025-Aug-30T01-03-08,16410
2025-Aug-30T01-03-08,16451
2025-Aug-30T01-03-08,16500
2025-Aug-30T01-03-08,16545
2025-Aug-30T01-03-08,16575
2025-Aug-30T01-03-08,16583
2025-Aug-30T01-03-08,16566
2025-Aug-30T01-03-08,16529
2025-Aug-30T01-03-08,16481
2025-Aug-30T01-03-08,16433
2025-Aug-30T01-03-08,16398
2025-Aug-30T01-03-08,16384
2025-Aug-30T01-03-08,16394
2025-Aug-30T01-03-08,16426
2025-Aug-30T01-03-08,16513
2025-Aug-30T01-03-08,16555
2025-Aug-30T01-03-08,16580
2025-Aug-30T01-03-08,16581
2025-Aug-30T01-03-08,16558
2025-Aug-30T01-03-08,16517
2025-Aug-30T01-03-08,16468
2025-Aug-30T01-03-08,16422
2025-Aug-30T01-03-08,16392
2025-Aug-30T01-03-08,16384
2025-Aug-30T01-03-08,16400
2025-Aug-30T01-03-08,16437
2025-Aug-30T01-03-09,16485
2025-Aug-30T01-03-09,16533
2025-Aug-30T01-03-09,16569
2025-Aug-30T01-03-09,16583
2025-Aug-30T01-03-09,16574
2025-Aug-30T01-03-09,16542
2025-Aug-30T01-03-09,16496
2025-Aug-30T01-03-09,16447
2025-Aug-30T01-03-09,16407
2025-Aug-30T01-03-09,16385
2025-Aug-30T01-03-09,16388
2025-Aug-30T01-03-09,16414
2025-Aug-30T01-03-09,16457
2025-Aug-30T01-03-09,16507
2025-Aug-30T01-03-09,16551
2025-Aug-30T01-03-09,16578
2025-Aug-30T01-03-09,16582
2025-Aug-30T01-03-09,16562
2025-Aug-30T01-03-09,16523
2025-Aug-30T01-03-09,16474
2025-Aug-30T01-03-09,16428
2025-Aug-30T01-03-09,16395
2025-Aug-30T01-03-09,16384
2025-Aug-30T01-03-09,16397
2025-Aug-30T01-03-09,16431
2025-Aug-30T01-03-09,16479
2025-Aug-30T01-03-09,16527
2025-Aug-30T01-03-09,16565
2025-Aug-30T01-03-09,16583
2025-Aug-30T01-03-09,16576
2025-Aug-30T01-03-09,16547
2025-Aug-30T01-03-09,16502
2025-Aug-30T01-03-09,16453
2025-Aug-30T01-03-09,16411
2025-Aug-30T01-03-09,16387
2025-Aug-30T01-03-09,16386
2025-Aug-30T01-03-09,16410
2025-Aug-30T01-03-09,16451
