timestamp,acceleration
2025-Aug-30T01-00-25,16485
2025-Aug-30T01-00-25,16533
2025-Aug-30T01-00-25,16568
2025-Aug-30T01-00-25,16583
2025-Aug-30T01-00-25,16574
2025-Aug-30T01-00-25,16542
2025-Aug-30T01-00-25,16496
2025-Aug-30T01-00-25,16447
2025-Aug-30T01-00-25,16407
2025-Aug-30T01-00-25,16385
2025-Aug-30T01-00-25,16388
2025-Aug-30T01-00-25,16414
2025-Aug-30T01-00-25,16457
2025-Aug-30T01-00-25,16506
2025-Aug-30T01-00-25,16550
2025-Aug-30T01-00-25,16578
2025-Aug-30T01-00-25,16582
2025-Aug-30T01-00-25,16562
2025-Aug-30T01-00-25,16523
2025-Aug-30T01-00-25,16475
2025-Aug-30T01-00-25,16428
2025-Aug-30T01-00-25,16395
2025-Aug-30T01-00-25,16384
2025-Aug-30T01-00-25,16397
2025-Aug-30T01-00-25,16431
2025-Aug-30T01-00-25,16478
2025-Aug-30T01-00-25,16527
2025-Aug-30T01-00-25,16565
2025-Aug-30T01-00-25,16583
2025-Aug-30T01-00-25,16576
2025-Aug-30T01-00-25,16547
2025-Aug-30T01-00-25,16503
2025-Aug-30T01-00-25,16453
2025-Aug-30T01-00-25,16411
2025-Aug-30T01-00-25,16387
2025-Aug-30T01-00-25,16386
2025-Aug-30T01-00-25,16409
2025-Aug-30T01-00-25,16451
2025-Aug-30T01-00-25,16500
2025-Aug-30T01-00-25,16545
2025-Aug-30T01-00-25,16575
2025-Aug-30T01-00-25,16583
2025-Aug-30T01-00-25,16566
2025-Aug-30T01-00-25,16529
2025-Aug-30T01-00-26,16481
2025-Aug-30T01-00-26,16434
2025-Aug-30T01-00-26,16398
2025-Aug-30T01-00-26,16384
2025-Aug-30T01-00-26,16394
2025-Aug-30T01-00-26,16426
2025-Aug-30T01-00-26,16510
2025-Aug-30T01-00-26,16565
2025-Aug-30T01-00-26,16579
2025-Aug-30T01-00-26,16582
2025-Aug-30T01-00-26,16560
2025-Aug-30T01-00-26,16520
2025-Aug-30T01-00-26,16471
2025-Aug-30T01-00-26,16425
2025-Aug-30T01-00-26,16393
2025-Aug-30T01-00-26,16384
2025-Aug-30T01-00-26,16398
2025-Aug-30T01-00-26,16434
2025-Aug-30T01-00-26,16481
2025-Aug-30T01-00-26,16530
2025-Aug-30T01-00-26,16567
2025-Aug-30T01-00-26,16583
2025-Aug-30T01-00-26,16575
2025-Aug-30T01-00-26,16545
2025-Aug-30T01-00-26,16500
2025-Aug-30T01-00-26,16450
2025-Aug-30T01-00-26,16409
2025-Aug-30T01-00-26,16386
2025-Aug-30T01-00-26,16387
2025-Aug-30T01-00-26,16411
2025-Aug-30T01-00-26,16454
2025-Aug-30T01-00-26,16503
2025-Aug-30T01-00-26,16548
2025-Aug-30T01-00-26,16577
2025-Aug-30T01-00-26,16583
2025-Aug-30T01-00-26,16565
2025-Aug-30T01-00-26,16527
2025-Aug-30T01-00-26,16478
2025-Aug-30T01-00-26,16431
2025-Aug-30T01-00-26,16397
2025-Aug-30T01-00-26,16384
2025-Aug-30T01-00-26,16395
2025-Aug-30T01-00-26,16428
2025-Aug-30T01-00-26,16475
2025-Aug-30T01-00-26,16524
2025-Aug-30T01-00-26,16563
2025-Aug-30T01-00-26,16582
2025-Aug-30T01-00-26,16578
2025-Aug-30T01-00-26,16550
2025-Aug-30T01-00-26,16506
2025-Aug-30T01-00-26,16457
2025-Aug-30T01-00-26,16414
2025-Aug-30T01-00-26,16388
2025-Aug-30T01-00-26,16386
2025-Aug-30T01-00-26,16407
2025-Aug-30T01-00-26,16447
2025-Aug-30T01-00-26,16528
2025-Aug-30T01-00-26,16566
2025-Aug-30T01-00-26,16583
2025-Aug-30T01-00-26,16576
2025-Aug-30T01-00-26,16546
2025-Aug-30T01-00-26,16501
2025-Aug-30T01-00-26,16452
2025-Aug-30T01-00-26,16410
2025-Aug-30T01-00-26,16387
2025-Aug-30T01-00-26,16387
2025-Aug-30T01-00-26,16410
2025-Aug-30T01-00-26,16452
2025-Aug-30T01-00-26,16501
2025-Aug-30T01-00-26,16546
2025-Aug-30T01-00-26,16576
2025-Aug-30T01-00-26,16583
2025-Aug-30T01-00-26,16565
2025-Aug-30T01-00-26,16528
2025-Aug-30T01-00-26,16480
2025-Aug-30T01-00-26,16432
2025-Aug-30T01-00-26,16397
2025-Aug-30T01-00-26,16384
2025-Aug-30T01-00-26,16394
2025-Aug-30T01-00-26,16427
2025-Aug-30T01-00-26,16473
2025-Aug-30T01-00-26,16522
2025-Aug-30T01-00-26,16562
2025-Aug-30T01-00-26,16582
2025-Aug-30T01-00-26,16578
2025-Aug-30T01-00-26,16551
2025-Aug-30T01-00-26,16508
2025-Aug-30T01-00-26,16458
2025-Aug-30T01-00-26,16415
2025-Aug-30T01-00-26,16388
2025-Aug-30T01-00-26,16385
2025-Aug-30T01-00-26,16406
2025-Aug-30T01-00-26,16446
2025-Aug-30T01-00-26,16495
