timestamp,acceleration
2025-Aug-30T01-03-01,16485
2025-Aug-30T01-03-01,16533
2025-Aug-30T01-03-01,16568
2025-Aug-30T01-03-01,16583
2025-Aug-30T01-03-01,16573
2025-Aug-30T01-03-01,16542
2025-Aug-30T01-03-01,16496
2025-Aug-30T01-03-01,16447
2025-Aug-30T01-03-01,16407
2025-Aug-30T01-03-01,16385
2025-Aug-30T01-03-01,16388
2025-Aug-30T01-03-01,16414
2025-Aug-30T01-03-01,16457
2025-Aug-30T01-03-01,16509
2025-Aug-30T01-03-01,16550
2025-Aug-30T01-03-01,16578
2025-Aug-30T01-03-01,16582
2025-Aug-30T01-03-01,16563
2025-Aug-30T01-03-01,16523
2025-Aug-30T01-03-01,16475
2025-Aug-30T01-03-01,16428
2025-Aug-30T01-03-01,16393
2025-Aug-30T01-03-01,16384
2025-Aug-30T01-03-01,16397
2025-Aug-30T01-03-01,16431
2025-Aug-30T01-03-01,16478
2025-Aug-30T01-03-01,16527
2025-Aug-30T01-03-01,16565
2025-Aug-30T01-03-01,16583
2025-Aug-30T01-03-01,16577
2025-Aug-30T01-03-01,16548
2025-Aug-30T01-03-01,16503
2025-Aug-30T01-03-01,16453
2025-Aug-30T01-03-01,16411
2025-Aug-30T01-03-01,16387
2025-Aug-30T01-03-01,16386
2025-Aug-30T01-03-01,16409
2025-Aug-30T01-03-01,16451
2025-Aug-30T01-03-01,16500
2025-Aug-30T01-03-01,16545
2025-Aug-30T01-03-01,16575
2025-Aug-30T01-03-01,16583
2025-Aug-30T01-03-01,16566
2025-Aug-30T01-03-01,16530
2025-Aug-30T01-03-01,16481
2025-Aug-30T01-03-01,16434
2025-Aug-30T01-03-01,16398
2025-Aug-30T01-03-01,16384
2025-Aug-30T01-03-01,16394
2025-Aug-30T01-03-01,16425
2025-Aug-30T01-03-01,16507
2025-Aug-30T01-03-01,16551
2025-Aug-30T01-03-01,16578
2025-Aug-30T01-03-01,16582
2025-Aug-30T01-03-01,16562
2025-Aug-30T01-03-01,16523
2025-Aug-30T01-03-01,16474
2025-Aug-30T01-03-01,16428
2025-Aug-30T01-03-01,16395
2025-Aug-30T01-03-01,16384
2025-Aug-30T01-03-01,16397
2025-Aug-30T01-03-01,16431
2025-Aug-30T01-03-01,16479
2025-Aug-30T01-03-01,16527
2025-Aug-30T01-03-01,16565
2025-Aug-30T01-03-01,16583
2025-Aug-30T01-03-01,16576
2025-Aug-30T01-03-01,16547
2025-Aug-30T01-03-01,16502
2025-Aug-30T01-03-01,16453
2025-Aug-30T01-03-01,16411
2025-Aug-30T01-03-01,16387
2025-Aug-30T01-03-01,16386
2025-Aug-30T01-03-01,16410
2025-Aug-30T01-03-01,16451
2025-Aug-30T01-03-01,16500
2025-Aug-30T01-03-01,16546
2025-Aug-30T01-03-01,16576
2025-Aug-30T01-03-01,16583
2025-Aug-30T01-03-01,16566
2025-Aug-30T01-03-02,16529
2025-Aug-30T01-03-02,16481
2025-Aug-30T01-03-02,16433
2025-Aug-30T01-03-02,16398
2025-Aug-30T01-03-02,16384
2025-Aug-30T01-03-02,16394
2025-Aug-30T01-03-02,16426
2025-Aug-30T01-03-02,16472
2025-Aug-30T01-03-02,16521
2025-Aug-30T01-03-02,16561
2025-Aug-30T01-03-02,16582
2025-Aug-30T01-03-02,16579
2025-Aug-30T01-03-02,16552
2025-Aug-30T01-03-02,16509
2025-Aug-30T01-03-02,16459
2025-Aug-30T01-03-02,16416
2025-Aug-30T01-03-02,16389
2025-Aug-30T01-03-02,16385
2025-Aug-30T01-03-02,16409
2025-Aug-30T01-03-02,16460
